Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
"Provider of a cloud-based, wireless access control platform allowing users to access doors using their smartphones",Salcete,2017,Seed,119,"High Tech > Security & Surveillance Technology,
Real Estate and Construction Tech > Facility Management Tech",India,2016-2020,5.87,6.27,1.24,Non-AI Firm,8,,,,,,
Online lending platform offering business loans,Gurugram,2017,Seed,3,FinTech > Alternative Lending,India,2016-2020,1.55,5.8,0,Non-AI Firm,8,,,,,,
Provider of learning partner for preschoolers,Bengaluru,2017,Seed,2,EdTech > Pre-K EdTech,India,2016-2020,2.46,7.49,0.06,Non-AI Firm,8,,,,,,
AI-based employee transport management solutions,Pune,2017,Seed,116,"High Tech > Geographic Information Systems,
Enterprise Applications > Field Force Automation",India,2016-2020,2.71,20.84,1.87,AI Firm,8,,,,,,
"Provider of medical apparel including scrubs, lab coats, and underscrubs",Mumbai,2017,Seed,11,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Consumer Goods > Apparel Brands",India,2016-2020,1.94,19.28,3.29,Non-AI Firm,8,,,,,,
Provider of ERP solutions for SMBs,Pune,2017,Seed,5,"Retail > E-Commerce Enablers,
Enterprise Applications > Enterprise Resource Planning",India,2016-2020,1.5,5.32,0.07,Non-AI Firm,8,,,,,,
Online platform offering learning solutions to crack board exams,Gurugram,2017,Seed,11,"EdTech > Test Preparation Tech,
EdTech > K-12 EdTech",India,2016-2020,2.76,9.5,1.38,Non-AI Firm,8,,,,,,
Provider of retail management solutions,Chennai,2017,Seed,84,"Retail > E-Commerce Enablers,
Food and Agriculture Tech > Online Grocery,
Retail > In Store Retail Tech",India,2016-2020,1.02,4.7,0.32,AI Firm,8,,,,,,
AI-based healthcare management platform offering various solutions,Gurugram,2017,Series A,97,"HealthTech > Healthcare Booking Platforms,
HealthTech > Healthcare IT,
HealthTech > Employee Health IT,
Enterprise Applications > HRTech",India,2016-2020,6.27,19.83,1.04,AI Firm,8,,,,,,
AI-powered visual inspection and defect detection across industries,Bengaluru,2017,Seed,69,"Auto Tech > Auto IT,
High Tech > Computer Vision,
High Tech > Security & Surveillance Technology,
High Tech > Image Recognition",India,2016-2020,1.74,4.13,2.78,AI Firm,8,,,,,,
AI-based robo advisor & financial advisory platform,Mumbai,2017,Series A,58,FinTech > Investment Tech,India,2016-2020,3.72,38.47,1.34,AI Firm,8,,,,,,
Online platform providing packaging solutions,Bengaluru,2017,Seed,46,"Retail > B2B E-Commerce,
Industrial Goods and Manufacturing > Packaging Tech",India,2016-2020,1.08,3.37,1.26,Non-AI Firm,8,,,,,,
Cloud-based placement management software provider,Noida,2017,Seed,22,"Enterprise Applications > HRTech,
EdTech > Higher Education Tech,
EdTech > K-12 EdTech",India,2016-2020,1.75,15.21,0.72,Non-AI Firm,8,,,,,,
Online platform providing multi-disciplinary courses,Mumbai,2017,Seed,10,EdTech > Continued Learning,India,2016-2020,3.95,6.39,0.17,Non-AI Firm,8,,,,,,
Provides solutions for tracking and monitoring temperature of assets,Mumbai,2017,Seed,54,"High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications,
Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2016-2020,1.01,8.13,0.59,Non-AI Firm,8,,,,,,
"SaaS-driven white-label apps to digitalize travel, tourism & hospitality industries",Mumbai,2017,Seed,41,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel,
Travel and Hospitality Tech > Hotel IT",India,2016-2020,6.62,9.22,0.09,Non-AI Firm,8,,,,,,
Provider of autonomous drone-based last-mile logistics solutions,Bengaluru,2018,Seed,25,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones",India,2016-2020,3.43,16.26,0.45,Non-AI Firm,7,,,,,,
Manufacturer of electric motors for multiple categories of electric vehicles,Delhi,2018,Seed,16,"Auto > Auto Components,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,1.65,10.27,0.17,Non-AI Firm,7,,,,,,
"Manufacturer of affordable, customizable bionic hands and associated mobile application",Hyderabad,2018,Series A,41,"High Tech > Consumer Robotics,
HealthTech > Assistive Tech",India,2016-2020,9,10.97,0,Non-AI Firm,7,,,,,,
Online marketplace offering multi-category products,Mumbai,2018,Series A,11,Food and Agriculture Tech > Online Grocery,India,2016-2020,7.4,40.36,0.26,Non-AI Firm,7,,,,,,
Onlinr brand offering low-carb keto-friendly foods,Bengaluru,2018,Series A,43,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,11.57,17.27,2.86,Non-AI Firm,7,,,,,,
Provider of bespoke supply chain finance solutions,Mumbai,2018,Seed,1,"Enterprise Applications > SCM Software,
FinTech > Alternative Lending",India,2016-2020,1.14,6.84,0.26,AI Firm,7,,,,,,
Internet first brand offering luggage bags,Gurugram,2018,Series A,38,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2016-2020,2.48,10.52,2.23,Non-AI Firm,7,,,,,,
Developer of immersive 3D experiences for e-commerce and the metaverse,Bengaluru,2018,Seed,39,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Retail > E-Commerce Enablers,
Retail > In Store Retail Tech,
High Tech > Augmented Reality,
High Tech > Virtual Reality,
High Tech > Metaverse",India,2016-2020,2.15,11.77,1.12,Non-AI Firm,7,,,,,,
Provider of sales and distribution solutions for wholesalers and distributors,Bengaluru,2018,Seed,32,"Retail > E-Commerce Enablers,
Retail > Brands Tech,
Enterprise Applications > MarketingTech,
Food and Agriculture Tech > Online Grocery,
Retail > B2B E-Commerce,
Retail > In Store Retail Tech,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,2.51,0.23,0.97,Non-AI Firm,7,,,,,,
Developer of an AI based teleradiology software for healthcare professionals,Bengaluru,2018,Series A,41,"HealthTech > Healthcare IT,
HealthTech > Clinical Labs IT",India,2016-2020,4.81,8.91,0.06,AI Firm,7,,,,,,
Online platform offering electric-bike rentals,Panaji,2018,Seed,32,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Consumer > Auto E-Commerce & Content,
Auto Tech > Auto E-Commerce & Content",India,2016-2020,3.04,8.52,0.13,Non-AI Firm,7,,,,,,
Manufacturer of Indian-style hot sauces and spice blends,Mumbai,2018,Seed,32,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,4.14,9.86,0.38,Non-AI Firm,7,,,,,,
"Provider of robotics education, training, and R&D services",Thrissur,2018,Seed,3,"EdTech > K-12 EdTech,
High Tech > Consumer Robotics",India,2016-2020,1.28,2.09,0.1,AI Firm,7,,,,,,
Provider of software based olutions for schools,Hyderabad,2018,Seed,11,"EdTech > K-12 EdTech,
Enterprise Applications > Enterprise Resource Planning",India,2016-2020,1.22,9.97,0,Non-AI Firm,7,,,,,,
Brand of organic milk,Delhi,2018,Seed,94,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,1.07,8.28,3.04,Non-AI Firm,7,,,,,,
Online conversational commerce platform for wedding style recommendations,Jhansi,2018,Series A,3,"Retail > Beauty Tech,
Retail > Video Commerce,
Consumer > Social Platforms,
Media & Entertainment > Social Platforms,
Retail > Social Commerce",India,2016-2020,3.81,10.98,0.23,Non-AI Firm,7,,,,,,
Payment solutions for vending machines,Bengaluru,2018,Seed,2,FinTech > Payments,India,2016-2020,3.07,11.34,0.05,Non-AI Firm,7,,,,,,
Platform offering paan products,Bengaluru,2018,Seed,27,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,2.15,3.62,0.91,Non-AI Firm,7,,,,,,
"Provider of satellite-derived climate intelligence and data visualization. It offers high-frequency climate data for various applications, including ESG ratings, asset management, and carbon credit markets. A key offering is SpaceTime™, a platform visualizing climate data with spatial and temporal context. The company leverages satellite data, AI, and cloud computing to build an API-based catalog of environmental datasets. This allows users to analyze climate risks, enhance risk modeling, and improve the transparency of carbon credits.",Ghaziabad,2018,Seed,9,"High Tech > Geographic Information Systems,
Enterprise Applications > Big Data Analytics,
FinTech > RegTech,
FinTech > Investment Tech,
Enterprise Applications > GRC Software",India,2016-2020,1.34,6.21,0.06,AI Firm,7,,,,,,
Provider of simulators for healthcare training,Chennai,2018,Seed,14,High Tech > Virtual Reality,India,2016-2020,1.02,4.24,0.11,AI Firm,7,,,,,,
Tech infrastructure for developers to power new financial use-cases,Chennai,2018,Seed,19,"FinTech > Payments,
FinTech > Banking Tech",India,2016-2020,3.05,11.33,0.17,Non-AI Firm,7,,,,,,
Mobile-based platform providing school curriculum-related learning solutions,Thrissur,2018,Series A,9,EdTech > K-12 EdTech,India,2016-2020,5.04,13.73,1.12,Non-AI Firm,7,,,,,,
"Manufacturer of personal audio devices, smartwatches, power accessories, and travel gear",Gurugram,2018,Seed,39,"Consumer Goods > Mobiles & Accessories,
Retail > Consumer Electronics E-Commerce,
High Tech > Wearable Technology,
Internet of Things - Industry Applications > Wearable Technology,
High Tech > Audio Tech",India,2016-2020,1.4,13.43,2.68,Non-AI Firm,7,,,,,,
Provider of maps and 3D analytics platform,Gurugram,2018,Seed,35,"High Tech > Geographic Information Systems,
Enterprise Applications > Big Data Analytics",India,2016-2020,2.43,6.74,0.6,Non-AI Firm,7,,,,,,
Provider of software solutions for interior designers and decorators,Chennai,2018,Seed,10,"Retail > Home Improvements,
Real Estate and Construction Tech > Property Management Tech,
Consumer > Local Services,
Unbundling of Craigslist > Local Services",India,2016-2020,2.21,7.73,0.53,Non-AI Firm,7,,,,,,
Provider of a blockchain-based bill discounting platform,Mumbai,2018,Seed,1,FinTech > Alternative Lending,India,2016-2020,2.21,2.72,0.01,AI Firm,7,,,,,,
Blockchain-based leads marketplace network,Mumbai,2018,Series A,61,FinTech > Alternative Lending,India,2016-2020,5.09,13.09,0.51,AI Firm,7,,,,,,
Mobile and Cloud-based platform providing homework management solutions,Bengaluru,2018,Seed,16,EdTech > K-12 EdTech,India,2016-2020,2.61,8.08,0.06,Non-AI Firm,7,,,,,,
Provider of B2B e-commerce and sales automation platform solutions,Gurugram,2018,Seed,47,"Retail > B2B E-Commerce,
Enterprise Applications > Field Force Automation",India,2016-2020,1.65,7,0.02,Non-AI Firm,7,,,,,,
Online platform to buy grocery products in bulk,Bengaluru,2018,Seed,27,Food and Agriculture Tech > Online Grocery,India,2016-2020,2.11,6.38,1.21,Non-AI Firm,7,,,,,,
Platform offering AI-powered computer-vision solutions,Delhi,2018,Seed,31,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
High Tech > Smart Cities,
Internet of Things - Industry Applications > Smart Cities,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
High Tech > Security & Surveillance Technology,
High Tech > Computer Vision",India,2016-2020,4.13,12.38,1,AI Firm,7,,,,,,
Internet-first brand of coffee products,Delhi,2018,Series A,29,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,11.44,21.27,3.03,Non-AI Firm,7,,,,,,
Mobile & SaaS-based platform providing financial management solutions,Chennai,2018,Series A,2,"EdTech > Higher Education Tech,
EdTech > K-12 EdTech",India,2016-2020,3.14,7.99,0.02,Non-AI Firm,7,,,,,,
AI based platform offering ERP software and solutions for schools,Ahmedabad,2018,Seed,147,"EdTech > K-12 EdTech,
Enterprise Applications > Enterprise Resource Planning",India,2016-2020,6.84,21.05,2.46,AI Firm,7,,,,,,
Provider of cold chain and dry logistics services,Mumbai,2018,Seed,58,Transportation and Logistics > Cold Chain Logistics,India,2016-2020,1.98,4.07,0.95,AI Firm,7,,,,,,
Provider of external data insights for enterprises across the customer lifecycle,Mumbai,2018,Series A,64,"High Tech > Geographic Information Systems,
Enterprise Applications > Data as a Service,
Enterprise Applications > Big Data Analytics,
FinTech > Banking Tech",India,2016-2020,15,30.11,0.72,Non-AI Firm,7,,,,,,
Digital bank for individuals,Bengaluru,2018,Seed,1,FinTech > Banking Tech,India,2016-2020,1.52,6.93,1.9,Non-AI Firm,7,,,,,,
Online platform offering car repair and maintenance services,Gurugram,2018,Seed,2,"Consumer > Local Services,
Unbundling of Craigslist > Local Services,
Consumer > Auto E-Commerce & Content,
Auto Tech > Auto E-Commerce & Content,
Auto > Auto Retail & Aftersales",India,2016-2020,2.29,13.28,1.46,AI Firm,7,,,,,,
Internet first brand offering multi-category bakery products,Delhi,2018,Seed,2,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,2.62,7.47,2.73,Non-AI Firm,7,,,,,,
Payment gateway & POS solutions,Chennai,2018,Seed,21,FinTech > Payments,India,2016-2020,2.76,25.37,0.2,Non-AI Firm,7,,,,,,
Application offering visual content creation solutions,Ahmedabad,2018,Seed,37,Enterprise Applications > MarketingTech,India,2016-2020,1,2.97,0.71,Non-AI Firm,7,,,,,,
Last-mile delivery solutions for e-commerce brands and communities,Hyderabad,2018,Seed,4,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Retail > E-Commerce Enablers,
Retail > Brands Tech",India,2016-2020,1.04,9.24,1.8,Non-AI Firm,7,,,,,,
Platform offering smart vending machines for corporates,Gurugram,2018,Seed,55,"Retail > Autonomous Retail,
Retail > Trust Shops,
Food and Agriculture Tech > Online Grocery,
Food and Agriculture Tech > Food Tech",India,2016-2020,2.24,6.78,2.22,Non-AI Firm,7,,,,,,
"Luggage, bags, and accessories retailer",Mumbai,2018,Series A,27,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel,
Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,5.23,14.45,2.35,AI Firm,7,,,,,,
Online platform offering cash flow automation and business loans,Mumbai,2018,Series A,91,"FinTech > Finance & Accounting Tech,
FinTech > Alternative Lending",India,2016-2020,6.64,23.28,1.27,Non-AI Firm,7,,,,,,
Provider of AI-powered personalized math learning programs,Bengaluru,2018,Seed,3,EdTech > K-12 EdTech,India,2016-2020,2.05,1.77,0.01,AI Firm,7,,,,,,
Provider of PR content distribution platform,Ahmedabad,2018,Seed,20,"Enterprise Applications > PR Tech,
Enterprise Applications > MarketingTech",India,2016-2020,1.21,12.97,1.82,Non-AI Firm,7,,,,,,
Ecosystem that leverages the expertise of women leaders who creates a referral community,Gurugram,2018,Seed,25,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,1.05,0.51,0.08,Non-AI Firm,7,,,,,,
Platform offering human resources management software for organizations,Gurugram,2018,Series A,85,Enterprise Applications > HRTech,India,2016-2020,4.37,22.28,0.75,Non-AI Firm,7,,,,,,
Provider of veterinary ophthalmology services for animals,Pune,2018,Seed,15,Healthcare > Clinic Chains,India,2016-2020,1.96,5.4,0.54,Non-AI Firm,7,,,,,,
AI-based intelligence solutions for retail businesses,Bengaluru,2018,Seed,32,"Retail > In Store Retail Tech,
High Tech > Geographic Information Systems",India,2016-2020,3.35,11.18,0.9,AI Firm,7,,,,,,
Online marketplace offering multi-category organic beauty products,Delhi,2018,Seed,9,Retail > Beauty Tech,India,2016-2020,3.29,6.61,0.69,Non-AI Firm,7,,,,,,
"It offers perfumes, deodorants, skincare, and sanitizers",Mumbai,2018,Series B,12,"Consumer Goods > Beauty & Personal Care Products,
Retail > Beauty Tech",India,2016-2020,11.72,16.24,2.32,Non-AI Firm,7,,,,,,
Provider of AI-powered platform for emission management,Bengaluru,2018,Seed,24,"Environment Tech > Air Pollution Management Tech,
Sustainability Tech > Air Pollution Management Tech,
FinTech > Investment Tech,
Enterprise Applications > Data as a Service",India,2016-2020,3.15,2.07,0.12,AI Firm,7,,,,,,
AI and SaaS-based video analytics solutions,Mumbai,2018,Series A,56,"High Tech > Computer Vision,
High Tech > Security & Surveillance Technology,
High Tech > Image Recognition,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Enterprise Applications > Big Data Analytics,
Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2016-2020,7.12,9.59,0.67,AI Firm,7,,,,,,
Provider of AI-powered communication skills coaching,Pune,2018,Seed,6,Enterprise Applications > HRTech,India,2016-2020,1.23,15.9,0.61,AI Firm,7,,,,,,
